myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,trialN,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,pract_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,trial_type,rep_resp_2.keys,rep_resp_2.rt,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,repeat_task.ran,task_resp_2.keys,task_resp_2.corr,task_resp_2.rt,cont_check.thisRepN,cont_check.thisTrialN,cont_check.thisN,cont_check.thisIndex,cont_check.ran,butterfly,finalmess_resp_3.keys,finalmess_resp_3.rt
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,0,0,0,27,27,27,1,28,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/acqua_flower.png,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,right,stimuli/objects/stingray.jpg,0,0,stimuli/yellow_butterfly.png,1.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,0,0,0,28,28,28,1,29,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,down,stimuli/objects/woodenshoe.jpg,1,0,stimuli/yellow_butterfly.png,1.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,down,0,0,0,29,29,29,1,30,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/white_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,stimuli/brown_flower.png,right,stimuli/objects/scanner.jpg,1,0,stimuli/yellow_butterfly.png,1.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,30,30,30,1,31,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,up,stimuli/objects/desk02.jpg,1,0,stimuli/yellow_butterfly.png,1.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,31,31,31,1,32,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,2,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,left,stimuli/objects/doublebass.jpg,1,0,stimuli/yellow_butterfly.png,2.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,32,32,32,1,33,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/white_flower.png,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/acqua_flower.png,right,stimuli/objects/fern.jpg,1,0,stimuli/red_butterfly.png,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,1,1,0,33,33,33,1,34,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/acqua_flower.png,stimuli/white_flower.png,stimuli/brown_flower.png,stimuli/grey_flower.png,left,stimuli/objects/clarinet.jpg,1,0,stimuli/red_butterfly.png,2.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,left,0,1,0,34,34,34,1,35,stimuli/red_butterfly.png,stimuli/yellow_butterfly.png,1,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,stimuli/white_flower.png,up,stimuli/objects/maplebuttercone.jpg,0,0,stimuli/red_butterfly.png,1.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,up,0,0,0,35,35,35,1,36,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/brown_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,down,stimuli/objects/aloe01.jpg,1,0,stimuli/red_butterfly.png,1.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,right,0,0,0,36,36,36,1,37,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,2,stimuli/brown_flower.png,stimuli/grey_flower.png,stimuli/white_flower.png,stimuli/acqua_flower.png,up,stimuli/objects/butterfly3.jpg,0,0,stimuli/red_butterfly.png,1.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"[0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0]",,,,,,,,,5,2020-12-17_16h55.16.320,premce3DEU_ses-01_part-01_label-phase1,2020.1.2,MacIntel,60,,0,0,0,37,37,37,1,38,stimuli/yellow_butterfly.png,stimuli/red_butterfly.png,1,stimuli/white_flower.png,stimuli/acqua_flower.png,stimuli/grey_flower.png,stimuli/brown_flower.png,right,stimuli/objects/gift01.jpg,1,0,stimuli/yellow_butterfly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
