instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,corr_ans,type,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Willkommen zum letzten Teil des Experiments!,,Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,,"Jetzt werden wir dir einige Bilder zeigen.

Bitte gib zu jedem Bild an, ob du du es im Verlauf des Experiments gesehen hast.

Drücke die LINKE PFEILTASTE für JA
Drücke die RECHTE PFEILTASTE für NEIN

",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,,"Anschließend bitten wir dich anzugeben wie sicher du dir bei deiner Wahl bist.

Bitte nutze die Zifferntasten von 1 bis 4 am oberen Ende deiner Tastatur um anzugeben, wie sicher du dir bei deiner Antwort bist.

Die Zahlen stehen für

1 = Sehr unsicher
2 = Unsicher
3 = Sicher
4 = Sehr sicher",Mit der LEERTASTE kannst du mit der Aufgabe fortfahren.,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.26604,2,0.39078,0,39,39,108,1,stimuli/objects/cork02.jpg,left,old,269,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.131415,2,0.27929,0,40,40,140,1,stimuli/objects/treadmill.jpg,left,old,301,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,2.438495,2,0.283635,0,41,41,48,1,stimuli/objects/rubikcube.jpg,right,new,209,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.1659,3,0.575145,0,42,42,148,1,stimuli/objects/snowglobe.jpg,left,old,309,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.265005,2,0.2907,0,43,43,82,1,stimuli/objects/duck01.jpg,left,old,243,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.667505,2,0.44212,0,44,44,81,1,stimuli/objects/raccoon.jpg,right,new,242,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,0.901855,3,0.291495,0,45,45,79,1,stimuli/objects/polarbear.jpg,left,old,240,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.14512,3,0.90996,0,46,46,33,1,stimuli/objects/noparkingsign.jpg,right,new,194,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,right,1.183115,3,1.050525,0,47,47,27,1,stimuli/objects/tombstone.jpg,right,new,188,,,,,,,,
,,,,,,,,11,2021-01-19_17h59.37.822,premce3DEU_ses-02_part-02_label-phase2,2020.1.2,Win32,60,left,1.56347,2,0.25673,0,48,48,96,1,stimuli/objects/hockeystick.jpg,left,old,257,,,,,,,,
