"SubNum","butterfly","response","accuracy","cumAcc","RT","trialNum","listN","trialtfromchange"
"10","grey_butterfly","4","0",0.875,0.666,32,1,32
"10","white_butterfly","2","1",0.878787878787879,1.075,33,1,33
"10","white_butterfly","3","0",0.852941176470588,0.686,34,1,34
"10","grey_butterfly","5","1",0.857142857142857,0.666,35,1,35
"10","grey_butterfly","3","1",0.861111111111111,0.762,36,1,36
"10","white_butterfly","4","1",0.864864864864865,0.612,37,1,37
"10","grey_butterfly","3","0",0.842105263157895,0.715,38,1,38
"10","white_butterfly","3","0",0.82051282051282,0.854,39,1,39
"10","white_butterfly","5","1",0.825,0.722,40,1,40
"10","grey_butterfly","4","1",0.829268292682927,1.168,41,1,41
"10","white_butterfly","3","1",0.833333333333333,0.714,42,1,42
"11","grey_butterfly","2","1",1,1.655,1,1,1
"11","grey_butterfly","3","1",1,0.609,2,1,2
"11","grey_butterfly","3","1",1,0.96,3,1,3
"11","white_butterfly","4","1",1,1.038,4,1,4
"11","grey_butterfly","3","0",0.8,1.1,5,1,5
"11","white_butterfly","2","1",0.833333333333333,1.045,6,1,6
"11","grey_butterfly","3","1",0.857142857142857,1.317,7,1,7
"11","grey_butterfly","4","1",0.875,1.858,8,1,8
"11","grey_butterfly","4","1",0.888888888888889,0.891,9,1,9
"11","grey_butterfly","5","1",0.9,0.758,10,1,10
"11","white_butterfly","5","1",0.909090909090909,2.262,11,1,11
"11","white_butterfly","4","0",0.833333333333333,2.165,12,1,12
"11","white_butterfly","4","1",0.846153846153846,0.809,13,1,13
"11","white_butterfly","3","1",0.857142857142857,0.829,14,1,14
"11","grey_butterfly","2","1",0.866666666666667,1.57,15,1,15
"11","grey_butterfly","5","1",0.875,1.148,16,1,16
"11","grey_butterfly","3","1",0.882352941176471,1.328,17,1,17
"11","white_butterfly","2","1",0.888888888888889,0.793,18,1,18
"11","white_butterfly","5","1",0.894736842105263,0.939,19,1,19
"11","white_butterfly","4","0",0.85,0.616,20,1,20
"11","white_butterfly","4","1",0.857142857142857,1.549,21,1,21
"11","grey_butterfly","5","1",0.863636363636364,0.553,22,1,22
"11","grey_butterfly","5","1",0.869565217391304,0.461,23,1,23
"11","grey_butterfly","5","0",0.833333333333333,0.822,24,1,24
"11","white_butterfly","3","0",0.8,0.93,25,1,25
"11","white_butterfly","2","1",0.807692307692308,0.929,26,1,26
"11","grey_butterfly","3","0",0.777777777777778,0.467,27,1,27
"11","white_butterfly","2","1",0.785714285714286,0.48,28,1,28
"11","grey_butterfly","3","1",0.793103448275862,0.796,29,1,29
"11","white_butterfly","5","0",0.766666666666667,1.512,30,1,30
"11","white_butterfly","2","0",0.741935483870968,0.728,31,1,31
"11","grey_butterfly","4","0",0.71875,0.951,32,1,32
"11","white_butterfly","2","1",0.727272727272727,0.994,33,1,33
"11","white_butterfly","3","0",0.705882352941177,0.761,34,1,34
"11","grey_butterfly","5","1",0.714285714285714,1.366,35,1,35
"11","grey_butterfly","2","0",0.694444444444444,1.06,36,1,36
"11","white_butterfly","4","1",0.702702702702703,0.543,37,1,37
"11","grey_butterfly","3","0",0.684210526315789,0.882,38,1,38
"11","white_butterfly","3","0",0.666666666666667,0.692,39,1,39
"11","white_butterfly","5","1",0.675,1.095,40,1,40
"11","grey_butterfly","4","1",0.682926829268293,1.35,41,1,41
"11","white_butterfly","3","1",0.69047619047619,0.534,42,1,42
