"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","Qup1","Qup2","Qup3","Qup4","N1","N2","N3","N4","Delta1","Delta2","Delta3","Delta4","Prob","uncertainty","CPP","CPnot","lr"
4,1,5,"red_flower",3,1,0.846774193548387,1.611705,139,5,16,0,1,1,"redonion.jpg",3,0.00673444839564903,0.0386189808943693,0.704796271534073,0.249850299175909,0.00617171951205612,0.0353919881657257,0.729463423881609,0.228972868440609,27.7977379446881,19.6100406490727,10.7842106820696,19.7163632527108,-0.00673444839564903,-0.0386189808943693,0.295203728465927,-0.249850299175909,0.862644044443606,0.899324748071376,0.00737612874587723,0.992623871254123,0.0841806863808752
4,2,1,NA,2,0,0.84,NA,140,5,17,0,1,1,"cloud.jpg",NA,0.259366359960157,0.693490428431034,0.00710183028231049,0.0400413813264982,0.237191126382199,0.719696299325263,0.00649463995367478,0.0366179343388642,19.7100880445958,9.89597015437006,26.8043092506318,19.5514680826769,-0.259366359960157,0.306509571568966,-0.00710183028231049,-0.0400413813264982,0.814142181968289,0.902091377845698,0.0333402018450609,0.966659798154939,0.0884465502990528
4,1,5,"red_flower",3,1,0.841269841269841,0.571145,141,5,18,0,1,1,"chime.jpg",3,0.00617171951205612,0.0353919881657257,0.729463423881609,0.228972868440609,0.00569588362782629,0.0326632870394688,0.750321632143073,0.211319197189632,27.7977379446881,19.6100406490727,11.7770122733985,19.7163632527108,-0.00617171951205612,-0.0353919881657257,0.270536576118391,-0.228972868440609,0.884099952600543,0.893192704676991,0.00719840867111121,0.992801591328889,0.0776584191248768
4,2,5,"green_flower",2,1,0.84251968503937,0.50598,142,5,19,1,1,1,"fishingrod.jpg",2,0.237191126382199,0.719696299325263,0.00649463995367478,0.0366179343388642,0.217540979001443,0.742918116741629,0.0059565901782839,0.0335843140786439,19.7100880445958,10.8887058093498,26.8043092506318,19.5514680826769,-0.237191126382199,0.280303700674737,-0.00649463995367478,-0.0366179343388642,0.876017050164911,0.895411519315551,0.00726434502025508,0.992735654979745,0.0834514244821855
4,1,4,"red_flower",3,1,0.84375,0.762595,143,5,20,1,1,1,"fishskeleton.jpg",3,0.00569588362782629,0.0326632870394688,0.750321632143073,0.211319197189632,0.00528827838315994,0.0303258574191921,0.768188958596345,0.196196905601303,27.7977379446881,19.6100406490727,12.7699381992936,19.7163632527108,-0.00569588362782629,-0.0326632870394688,0.249678367856927,-0.211319197189632,0.899751640570406,0.887690802099535,0.00707407410487626,0.992925925895124,0.0720712086329723
4,2,2,"green_flower",2,1,0.844961240310077,0.98476,144,5,21,1,1,1,"urinal.jpg",2,0.217540979001443,0.742918116741629,0.0059565901782839,0.0335843140786439,0.200901908922298,0.762581554367265,0.00550098810338217,0.0310155486070549,19.7100880445958,11.8815901049177,26.8043092506318,19.5514680826769,-0.217540979001443,0.257081883258371,-0.0059565901782839,-0.0335843140786439,0.894450153330042,0.889446425745371,0.00711570443206,0.99288429556794,0.0770352206229795
4,1,5,"red_flower",3,1,0.846153846153846,1.24231,145,5,22,1,1,1,"key07.jpg",3,0.00528827838315994,0.0303258574191921,0.768188958596345,0.196196905601303,0.00493521820621268,0.0283012188107951,0.783665308623023,0.183098254359969,27.7977379446881,19.6100406490727,13.7629548982589,19.7163632527108,-0.00528827838315994,-0.0303258574191921,0.231811041403655,-0.196196905601303,0.911530467954173,0.88274716514193,0.00698330103470979,0.99301669896529,0.0672322853058912
4,2,5,"green_flower",2,1,0.847328244274809,0.77972,146,5,23,1,1,1,"toyanimal05.jpg",2,0.200901908922298,0.762581554367265,0.00550098810338217,0.0310155486070549,0.186631569005513,0.779445714294208,0.0051102453248065,0.0288124713754721,19.7100880445958,12.8745797863199,26.8043092506318,19.5514680826769,-0.200901908922298,0.237418445632735,-0.00550098810338217,-0.0310155486070549,0.907992751207121,0.88411512897685,0.00701031859787882,0.992989681402121,0.0715328484631124
4,2,2,"green_flower",2,1,0.848484848484849,1.01705,147,5,24,1,1,1,"candycane01a.jpg",2,0.186631569005513,0.779445714294208,0.0051102453248065,0.0288124713754721,0.174257916451965,0.79406843924402,0.00477143662031191,0.0269022076837029,19.7100880445958,13.8676472604868,26.8043092506318,19.5514680826769,-0.186631569005513,0.220554285705792,-0.0051102453248065,-0.0288124713754721,0.91825364887017,0.879338103839557,0.00693252583306181,0.993067474166938,0.0667627246236738
4,2,2,"green_flower",2,1,0.849624060150376,0.438485,148,5,25,1,2,1,"vacuumcleaner01.jpg",2,0.174257916451965,0.79406843924402,0.00477143662031191,0.0269022076837029,0.163426397010979,0.806868728317004,0.0044748537759475,0.0252300208960697,19.7100880445958,14.8607740612334,26.8043092506318,19.5514680826769,-0.174257916451965,0.20593156075598,-0.00477143662031191,-0.0269022076837029,0.926234960743371,0.87504326462827,0.00687319925343111,0.993126800746569,0.0625881571756153
4,2,3,"green_flower",2,1,0.850746268656716,0.478165,149,5,26,1,2,1,"hotdog.jpg",2,0.163426397010979,0.806868728317004,0.0044748537759475,0.0252300208960697,0.153865585747924,0.818167341462289,0.0042130647800197,0.0237540080097669,19.7100880445958,15.8539473341555,26.8043092506318,19.5514680826769,-0.163426397010979,0.193131271682996,-0.0044748537759475,-0.0252300208960697,0.932583837994295,0.871167554631068,0.00682672707789644,0.993173272922104,0.0589043699485676
4,1,3,"red_flower",3,1,0.851851851851852,0.737525,150,5,27,1,2,1,"lantern03.jpg",3,0.00493521820621268,0.0283012188107951,0.783665308623023,0.183098254359969,0.00462644342625729,0.0265305366959147,0.797200413644835,0.171642606232993,27.7977379446881,19.6100406490727,14.7560401842459,19.7163632527108,-0.00493521820621268,-0.0283012188107951,0.216334691376977,-0.183098254359969,0.920635518462686,0.878293428356376,0.00691471401305399,0.993085285986946,0.063001213439787
4,2,5,"green_flower",2,1,0.852941176470588,0.532565,151,5,28,1,2,1,"blender.jpg",2,0.153865585747924,0.818167341462289,0.0042130647800197,0.0237540080097669,0.14536419754422,0.828213967618661,0.00398028433695833,0.02244155050016,19.7100880445958,16.8471578325439,26.8043092506318,19.5514680826769,-0.153865585747924,0.181832658537711,-0.0042130647800197,-0.0237540080097669,0.937732153006093,0.867656726712527,0.0067895016115409,0.993210498388459,0.0556297428125823
4,1,5,"red_flower",3,1,0.854014598540146,0.41676,152,5,29,1,2,1,"jellybean.jpg",3,0.00462644342625729,0.0265305366959147,0.797200413644835,0.171642606232993,0.00435411336887655,0.0249688483934631,0.809137968673703,0.161539069563957,27.7977379446881,19.6100406490727,15.7491787743422,19.7163632527108,-0.00462644342625729,-0.0265305366959147,0.202799586355165,-0.171642606232993,0.927837441987963,0.874268140112485,0.00686140990365502,0.993138590096345,0.0592704827140544
4,2,4,"green_flower",2,1,0.855072463768116,0.55722,153,5,30,1,2,1,"musicstand.jpg",2,0.14536419754422,0.828213967618661,0.00398028433695833,0.02244155050016,0.137755317029474,0.837205861197508,0.00377194205979327,0.0212668797132255,19.7100880445958,17.8403987177053,26.8043092506318,19.5514680826769,-0.14536419754422,0.171786032381339,-0.00398028433695833,-0.02244155050016,0.941976708936086,0.864464453873411,0.00675911483865177,0.993240885161348,0.0526997701184573
4,1,3,"red_flower",3,1,0.856115107913669,0.318425,154,5,31,1,2,1,"skihelmet01.jpg",3,0.00435411336887655,0.0249688483934631,0.809137968673703,0.161539069563957,0.00411213403672374,0.0235812076163388,0.819745103344058,0.15256155500288,27.7977379446881,19.6100406490727,16.7423597737002,19.7163632527108,-0.00435411336887655,-0.0249688483934631,0.190862031326297,-0.161539069563957,0.933647788278705,0.870617517512213,0.00681900064200547,0.993180999357995,0.0559564480128914
4,1,5,"red_flower",3,1,0.857142857142857,1.441685,155,5,32,1,2,1,"butterfly2.jpg",3,0.00411213403672374,0.0235812076163388,0.819745103344058,0.15256155500288,0.00389569783999015,0.0223400450362076,0.829232557771954,0.144531699351848,27.7977379446881,19.6100406490727,17.7355751877631,19.7163632527108,-0.00411213403672374,-0.0235812076163388,0.180254896655942,-0.15256155500288,0.938416217841552,0.867295091078067,0.00678458593715059,0.993215414062849,0.0529930823042121
4,2,2,"green_flower",2,1,0.858156028368794,0.43163,156,5,33,1,2,1,"frisbee.jpg",2,0.137755317029474,0.837205861197508,0.00377194205979327,0.0212668797132255,0.13090533873525,0.845300912200042,0.00358437963538882,0.0202093694293191,19.7100880445958,18.8336648104809,26.8043092506318,19.5514680826769,-0.137755317029474,0.162794138802492,-0.00377194205979327,-0.0212668797132255,0.945526887461588,0.861551265732756,0.00673390722436118,0.993266092775639,0.0500628090648835
4,1,3,"red_flower",3,1,0.859154929577465,0.344835,157,5,34,1,2,1,"shovel01.jpg",3,0.00389569783999015,0.0223400450362076,0.829232557771954,0.144531699351848,0.0037009614047574,0.0212233206617882,0.837768805786864,0.13730691214659,27.7977379446881,19.6100406490727,18.728819003642,19.7163632527108,-0.00389569783999015,-0.0223400450362076,0.170767442228046,-0.144531699351848,0.942388103047873,0.864260938250115,0.0067561841210575,0.993243815878943,0.0503275838899694
4,1,4,"red_flower",3,1,0.86013986013986,1.22243,158,5,35,1,2,1,"callbell.jpg",3,0.0037009614047574,0.0212233206617882,0.837768805786864,0.13730691214659,0.00352481550703396,0.020213204515795,0.845490139845275,0.130771840131896,27.7977379446881,19.6100406490727,19.7220866016911,19.7163632527108,-0.0037009614047574,-0.0212233206617882,0.162231194213136,-0.13730691214659,0.945739727650144,0.861480819513736,0.00673240195091973,0.99326759804908,0.0479172304931876
4,2,3,"green_flower",2,1,0.861111111111111,1.38232,159,5,36,1,2,1,"shelves.jpg",2,0.13090533873525,0.845300912200042,0.00358437963538882,0.0202093694293191,0.124706055929721,0.852626995339928,0.00341463420516541,0.019252314525186,19.7100880445958,19.826952107389,26.8043092506318,19.5514680826769,-0.13090533873525,0.154699087799958,-0.00358437963538882,-0.0202093694293191,0.948533873028112,0.858883518355502,0.00671270309188299,0.993287296908117,0.0476770316669594
5,1,5,"red_flower",1,0,0,2.348,1,0,1,0,0,1,"toolbox02.jpg",3,0.25,0.25,0.25,0.25,0.434335499856363,0.188554833381212,0.188554833381212,0.188554833381212,2.99152542372881,2,2,2,0.75,-0.25,-0.25,-0.25,0.25,0.985122644327995,0.00847457627118642,0.991525423728814,0.247881355932203
5,2,4,"red_flower",3,1,0.5,1.28,2,0,2,0,0,1,"flipflop01b.jpg",3,0.25,0.25,0.25,0.25,0.1905859375,0.1905859375,0.4282421875,0.1905859375,2,2,2.975,2,-0.25,-0.25,0.75,-0.25,0.25,0.986076478548524,0.025,0.975,0.24375
5,1,4,"blue_flower",1,1,0.666666666666667,1,3,0,3,0,0,1,"tire.jpg",1,0.434335499856363,0.188554833381212,0.188554833381212,0.188554833381212,0.543961692409485,0.152012769196838,0.152012769196838,0.152012769196838,3.97507067761073,2,2,2,0.565664500143637,-0.188554833381212,-0.188554833381212,-0.188554833381212,0.38315858678265,0.963014476046491,0.0164547461180877,0.983545253881912,0.197043022000111
5,2,2,"blue_flower",3,0,0.5,1.123,4,0,4,0,0,1,"wheat.jpg",1,0.1905859375,0.1905859375,0.4282421875,0.1905859375,0.152889294009961,0.152889294009961,0.541332117970116,0.152889294009961,2,2,3.96697895200235,2,-0.1905859375,-0.1905859375,0.5717578125,-0.1905859375,0.20723084592209,0.963649264023229,0.00802104799764647,0.991978952002354,0.199392754171327
5,1,5,"red_flower",1,0,0.4,0.997,5,0,5,0,0,1,"tennisracket.jpg",3,0.543961692409485,0.152012769196838,0.152012769196838,0.152012769196838,0.619112116452985,0.126962627849005,0.126962627849005,0.126962627849005,4.96735602527402,2,2,2,0.456038307590515,-0.152012769196838,-0.152012769196838,-0.152012769196838,0.175490581682403,0.942904510800808,0.00771465233670865,0.992285347663291,0.166070897099426
5,2,3,"blue_flower",3,0,0.333333333333333,1.739,6,0,6,0,1,1,"shed02.jpg",1,0.152889294009961,0.152889294009961,0.541332117970116,0.152889294009961,0.127660892992635,0.127660892992635,0.617017321022094,0.127660892992635,2,2,4.95925744449433,2,-0.152889294009961,-0.152889294009961,0.458667882029884,-0.152889294009961,0.176228273993859,0.943514229413526,0.00772150750802636,0.992278492491974,0.166294954360278
